secucode,name,industry,quote_time,latest_date,price,pct,amount,turnover,volume_ratio,main_net,industry_avg_pct,industry_adv_ratio,industry_amount,close_pos,upper_shadow,samples,win_rate,avg_return,median_return,profit_factor,max_drawdown,worst_return,worst_sample_date,worst_hold_drawdown,stop_loss,stop_risk,target_low,target_high,reward_risk,buy_low,buy_high,formal,reject_reason,score,rechecked,recheck_price,recheck_time,recheck_reject_reason,risk_tier,action_tier,attack_mode_score,attack_mode_preferred,attack_mode_reason
002916.SZ,深南电路,元件,,2026-07-06,440.2,-0.031400000000000004,6703375971.5,2.29,0.95,-32544288.0,-0.041850819672131154,0.09836065573770492,146025962633.28,0.457731958762886,0.542268041237114,120,0.625,0.03530810388497337,0.025180468502382616,2.849463831976265,-0.2477761840931475,-0.10313336358685801,2025-11-07,-0.1172091412742382,411.587,0.065,451.28444223474884,467.7990859950454,0.9645645683795987,438.8794,441.52059999999994,False,stop_risk_gt_expected_reward;weak_tail_position,48.785936875455754,False,0.0,,,观察,观察,14.899599090069165,False,attack_checks_failed
688008.SH,澜起科技,半导体,,2026-07-06,268.68,0.006999999999999999,16891296871.0,5.53,0.71,-645778432.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.6352327447833074,0.3647672552166926,120,0.48333333333333334,0.016649133112309693,-0.0038607267112930376,1.5613933242577307,-0.5939606350145379,-0.1603998043052838,2025-10-29,-0.18356164383561657,251.21580000000003,0.065,268.68,283.78158518349426,0.8647166880529461,267.87396,269.48604,False,win_rate_lt_55;stop_risk_gt_expected_reward,47.45269385905806,False,0.0,,,观察,观察,-7.005924950015631,False,attack_checks_failed
688256.SH,寒武纪,半导体,,2026-07-06,1369.75,0.0124,14045400474.0,1.65,0.76,88964096.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.796581023669837,0.20341897633016306,120,0.5,0.01405899921216617,-0.00023014090651788267,1.5089449568162967,-0.37755422986371956,-0.17778034696465175,2026-01-30,-0.19352048252734355,1288.1843230112695,0.05954785689996759,1369.75,1423.6963061031552,0.6613848875502952,1365.64075,1373.8592499999997,False,win_rate_lt_55;stop_risk_gt_expected_reward,47.0755617961076,False,0.0,,,观察,观察,-5.39478762557453,False,attack_checks_failed
002980.SZ,华盛昌,电网设备,,2026-07-06,111.04,0.050199999999999995,1904711904.6,16.57,1.61,131300032.0,-0.0235,0.15625,49518149708.58,0.5723577235772365,0.4276422764227636,120,0.625,0.036921707110591215,0.016284862250856093,3.0918884943844294,-0.25443698513068347,-0.17944746022773153,2026-06-25,-0.1843656626019543,103.82240000000002,0.065,112.84827110433505,115.67727479425838,0.6424953993375063,110.70688000000001,111.37312,False,stop_risk_gt_expected_reward,46.341400119622605,False,0.0,,,观察,观察,4.666187700821586,False,attack_checks_failed
688409.SH,富创精密,半导体,,2026-07-06,246.98,0.0087,2309994620.0,3.05,0.66,177934288.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.4731308411214949,0.5268691588785052,120,0.5583333333333333,0.047741992639806725,0.0197408725927409,2.9202581810767687,-0.4379970469539375,-0.18199649446494462,2026-05-25,-0.18115774907749072,230.9263,0.065,251.85560071295512,266.8415942821755,1.2371972992005282,246.23906,247.72093999999996,False,weak_tail_position,44.92033516463299,False,0.0,,,观察,观察,4.910904211832828,False,attack_checks_failed
002371.SZ,北方华创,半导体,,2026-07-06,803.6,-0.0152,12192666512.04,2.1,0.95,-1505901616.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.5331437976956461,0.4668562023043538,120,0.5666666666666667,0.016134343385665863,0.005935748612750004,1.8776521424236055,-0.36696674058104417,-0.10486666447987061,2025-10-09,-0.13669662577357922,761.3819597088935,0.05253613774403494,808.3699675852059,837.3424695204656,0.799242913403862,801.1892,806.0107999999999,False,stop_risk_gt_expected_reward,44.77660920014924,False,0.0,,,观察,观察,5.049231553072529,False,attack_checks_failed
300054.SZ,鼎龙股份,电子化学品Ⅱ,,2026-07-06,90.56,0.0076,3835882478.77,5.73,0.67,-68773168.0,-0.023262857142857144,0.2571428571428571,65969844145.97,0.6052631578947382,0.3947368421052619,120,0.6166666666666667,0.027962535410336994,0.017425570867574094,2.611029607619456,-0.18868752423925983,-0.1537229074889868,2026-05-26,-0.18313404657016985,85.0029627334744,0.06136304402082143,92.13805969776752,95.79268972444034,0.941633009366512,90.28832,90.83167999999999,False,stop_risk_gt_expected_reward,44.72339302685396,False,0.0,,,观察,观察,8.352957069610907,False,attack_checks_failed
688249.SH,晶合集成,半导体,,2026-07-06,61.48,0.0062,5144321809.0,4.32,1.28,-216387744.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.78359096313912,0.21640903686088003,120,0.6083333333333333,0.031203691221509566,0.01789125281690415,2.2252671600353917,-0.451460499823505,-0.17146129032258065,2026-02-25,-0.18118279569892481,57.4838,0.065,62.579954223183265,65.15151157613728,0.9187507072061689,61.295559999999995,61.66443999999999,False,stop_risk_gt_expected_reward,43.74787428167138,False,0.0,,,观察,观察,1.9482162686450986,False,attack_checks_failed
300671.SZ,富满微,半导体,,2026-07-06,102.32,0.08449999999999999,3445745010.16,15.53,0.92,174284512.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.7815013404825734,0.21849865951742659,120,0.5166666666666667,0.03752033264252872,0.0066762768727705825,2.552420366917088,-0.41756006694864156,-0.14995377322715212,2026-05-25,-0.16410714285714278,95.6692,0.065,103.00311664962189,106.82953566217428,0.6780440942705069,102.01303999999999,102.62695999999998,False,win_rate_lt_55;stop_risk_gt_expected_reward,43.55298930340098,False,0.0,,,观察,观察,2.7358878558424524,False,attack_checks_failed
001331.SZ,胜通能源,燃气Ⅱ,,2026-07-06,66.17,0.042199999999999994,1155670520.91,6.38,0.84,141410260.0,-0.0044321428571428585,0.39285714285714285,4512021684.1,0.9736024844720494,0.026397515527950555,120,0.5583333333333333,0.0334687788874742,0.011378161247521192,2.4185635015698987,-0.3518143723166576,-0.1960809878844361,2026-02-05,-0.2407364250757399,61.868950000000005,0.065,66.92289292974849,69.89586709261299,0.8662691883640031,65.97149,66.36851,False,stop_risk_gt_expected_reward,43.440619265567676,False,0.0,,,观察,观察,-0.19932262566725267,False,attack_checks_failed
688981.SH,中芯国际,半导体,,2026-07-06,143.99,0.0262,12737144923.0,4.48,0.9,-156986864.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.6928571428571431,0.30714285714285694,120,0.5166666666666667,0.00901584888864993,0.0004144392564341083,1.4084324850971468,-0.38262178428966753,-0.12374632400780741,2026-05-28,-0.15875081327260887,135.82548403517086,0.056701965170005864,144.04967510853393,149.29025790424407,0.6491821348719706,143.55803,144.42197,False,win_rate_lt_55;stop_risk_gt_expected_reward,42.120844476805146,False,0.0,,,观察,观察,-0.9221726850086966,False,attack_checks_failed
688548.SH,广钢气体,电子化学品Ⅱ,,2026-07-06,45.07,-0.0297,2896064455.0,9.4,0.96,-219938576.0,-0.023262857142857144,0.2571428571428571,65969844145.97,0.6407766990291267,0.35922330097087324,120,0.5333333333333333,0.03806472850529738,0.0033167446697867876,2.732972256299567,-0.3353105996324537,-0.12798621700879767,2026-05-20,-0.17478005865102642,42.14045,0.065,45.21948568226729,47.96101632984293,0.9868465565847755,44.93479,45.205209999999994,False,win_rate_lt_55;stop_risk_gt_expected_reward,41.679727604437716,False,0.0,,,观察,观察,8.243370133384355,False,attack_checks_failed
300938.SZ,信测标准,专业服务,,2026-07-06,53.15,0.0202,767303384.28,4.94,0.7,30534336.0,-0.01406,0.2,4867157300.5,0.7558528428093634,0.24414715719063662,120,0.6166666666666667,0.028856257161023677,0.019251869079804886,2.56364765893673,-0.2671367653122363,-0.11162434901781629,2026-05-22,-0.14164305949008493,49.69525,0.065,54.17323684159163,56.377196041751105,0.9341330173677138,52.99055,53.30944999999999,False,stop_risk_gt_expected_reward,41.49417229566921,False,0.0,,,观察,观察,12.525864827854976,False,attack_checks_failed
