secucode,name,tradable,status,reject_reason,rank_score,latest_date,latest_close,benchmark_code,ma60,ma120,ma200,distance_ma200,stock_return_120d,benchmark_return_120d,excess_return_120d,stock_return_240d,benchmark_return_240d,excess_return_240d,drawdown_120d,volatility_120d,buy_zone_low,buy_zone_high,initial_stop_loss,trend_stop_price,relative_exit_excess,position_hint,tags
300836.SZ,佰奥智能,False,ok,volatility_120d 62.91% > 42.00%,82.843805,2026-07-06,69.46,000300.SH,68.34238333333333,63.718275,58.770565,0.1818841625905756,0.2698122520612054,0.0458018894413319,0.2240103626198735,0.6134352279854125,0.2109692505846017,0.4024659774008108,-0.15086612633097407,0.6291395931600705,67.3762,71.54379999999999,61.12479999999999,57.007448049999994,-0.06,0.0,"long_term_hold,strong_relative"
300041.SZ,回天新材,False,ok,volatility_120d 46.77% > 42.00%,82.802104,2026-07-06,14.69,000300.SH,12.8665,12.277166666666666,11.9226,0.23211380068105947,0.344007319304666,0.0458018894413319,0.2982054298633341,0.5512143611404434,0.2109692505846017,0.3402451105558417,-0.11185006045949208,0.4677295161656902,14.2493,15.1307,12.9272,11.564922,-0.06,0.0,"long_term_hold,strong_relative"
688601.SH,力芯微,False,ok,volatility_120d 60.13% > 42.00%,82.768135,2026-07-06,57.24,000300.SH,56.44963333333333,54.24373333333333,49.48299,0.15676114155591647,0.3471087995104847,0.0458018894413319,0.3013069100691528,0.42172325575619074,0.2109692505846017,0.21075400517158904,-0.17308331286748246,0.6013364264438638,55.522800000000004,58.9572,50.3712,47.998500299999996,-0.06,0.0,"long_term_hold,strong_relative"
300214.SZ,日科化学,False,ok,volatility_120d 52.41% > 42.00%,82.729645,2026-06-26,10.25,000300.SH,8.161833333333332,7.744583333333334,7.6686000000000005,0.3366194611793547,0.5117994100294985,0.05356080099897653,0.45823860903052194,0.5095729013254786,0.23681937358996774,0.27275352773551087,-0.030274361400189242,0.5240734755066019,9.942499999999999,10.557500000000001,9.02,7.438542,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
300689.SZ,澄天伟业,False,ok,volatility_120d 63.38% > 42.00%,82.696743,2026-07-06,65.58,000300.SH,56.21691666666666,52.60104166666667,51.727225,0.26780433321137953,0.4604164346954682,0.0458018894413319,0.4146145452541363,0.5349327091866587,0.2109692505846017,0.323963458602057,-0.08624773582276712,0.6337897996661422,63.61259999999999,67.5474,57.7104,50.17540825,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
688103.SH,国力电子,False,ok,ma120_not_above_ma200; volatility_120d 56.26% > 42.00%,82.547632,2026-07-06,85.26,000300.SH,62.354000000000006,62.04258333333333,63.281949999999995,0.3473036150118638,0.4125248508946322,0.0458018894413319,0.3667229614533003,0.4669649002064695,0.2109692505846017,0.2559956496218678,-0.02682342198379173,0.5625592082004804,82.7022,87.8178,75.0288,61.38349149999999,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
688678.SH,福立旺,False,ok,volatility_120d 56.20% > 42.00%,82.504914,2026-07-06,21.95,000300.SH,22.73421666666667,20.158291666666667,19.82776,0.1070337748691732,0.27616279069767447,0.0458018894413319,0.23036090125634257,0.6139705882352942,0.2109692505846017,0.40300133765069246,-0.19948942377826406,0.5620307490417338,21.2915,22.6085,19.316,19.232927200000002,-0.06,0.0,"long_term_hold,strong_relative"
688578.SH,艾力斯,False,ok,ma60_not_above_ma120; ma120_not_above_ma200; volatility_120d 46.57% > 42.00%,82.491202,2026-07-06,130.58,000300.SH,93.9875,95.45483333333333,98.73764999999999,0.322494509439915,0.26103331723804946,0.0458018894413319,0.21523142779671756,0.4299167761717042,0.2109692505846017,0.2189475255871025,-0.048250728862973546,0.4657297922350535,126.66260000000001,134.49740000000003,114.91040000000001,95.77552049999998,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
600499.SH,科达制造,False,ok,volatility_120d 54.09% > 42.00%,82.473069,2026-07-06,16.39,000300.SH,16.490666666666666,16.096416666666666,14.4557,0.13380880898192404,0.24449506454062275,0.05723294060106365,0.1872621239395591,0.7234490010515249,0.24025686278025526,0.4831921382712696,-0.19970703125,0.5408867714367954,15.8983,16.881700000000002,14.423200000000001,14.022029,-0.06,0.0,"long_term_hold,strong_relative"
600366.SH,宁波韵升,False,ok,ma60_not_above_ma120; ma120_not_above_ma200; volatility_120d 47.35% > 42.00%,82.454635,2026-07-06,16.11,000300.SH,13.4004,13.448283333333334,13.65312,0.1799500773449585,0.17668541377547275,0.0458018894413319,0.13088352433414085,0.4486107364445642,0.2109692505846017,0.23764148585996248,-0.07466973004020683,0.4735177311883253,15.6267,16.5933,14.1768,13.243526399999999,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
